,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
49,2,1322.0,1.3538569710008233,"[ 5 14 19 18 19 14  9  5 17  9 17 19  8  9  0 19 13  4  9 17  9  1  3 16
  2 18  5 15 18  4 19 13  4 11 15]",400,1.0,400,1.0
50,4,1412.0,2.3779628350002895,"[19 18 18  8 19 11  1  7 19 18  9 19  8  4 19 19  9 14  8 17  9  5  0  6
 14  0 13 18  0  9 14 17 13 16 11]",400,1.0,400,1.0
51,8,1463.0,4.440947065000728,"[11 18 18  2 19 11  0  7 19 18 18 16 17  6  8 19  9  5  5 15 19  5 11 15
 14  7 19 14  0 19 14 17 13 16 15]",400,1.0,400,1.0
52,16,1540.0,10.296640531000776,"[11 15 18 18 19 18  0  7 19  2 13 18 14  4 11 11 19 13  0  8 19  2  6 17
 19 13 17 18  9 16 18  3 17 17 14]",400,1.0,400,1.0
53,32,1643.0,19.890979844000867,"[19 17 18 16 19 17  1 16 19  7 14 19 15  0 11 17 14  4  0  0 19  1  5 18
 19  0 19 17  9 17 18 15 18 17 19]",400,1.0,400,1.0
54,64,1694.0,42.540138839000065,"[18 17 19 19 19 18  0 19 19  3 13 19 16  0  4 19 19  9  0  1 19  5 14 19
 19  0 19 15  9 16 19 16 18 16 19]",400,1.0,400,1.0
55,128,1721.0,84.91079605200048,"[19 19 19 19 19 18  0 19 19  2 16 19 18  0  4 19 19  4  0  0 19  1 19 19
 19  0 19 17  3 18 19 17 18 19 19]",400,1.0,400,1.0
56,256,1721.0,152.0681856780002,"[19 19 19 19 19 18  0 19 19  2 16 19 18  0  4 19 19  4  0  0 19  1 19 19
 19  0 19 17  3 18 19 17 18 19 19]",400,1.0,400,1.0
57,512,1721.0,293.0870698430008,"[19 19 19 19 19 18  0 19 19  2 16 19 18  0  4 19 19  4  0  0 19  1 19 19
 19  0 19 17  3 18 19 17 18 19 19]",400,1.0,400,1.0
58,1024,1721.0,593.4216861330005,"[19 19 19 19 19 18  0 19 19  2 16 19 18  0  4 19 19  4  0  0 19  1 19 19
 19  0 19 17  3 18 19 17 18 19 19]",400,1.0,400,1.0
59,2048,1721.0,638.0831898900005,"[19 19 19 19 19 18  0 19 19  2 16 19 18  0  4 19 19  4  0  0 19  1 19 19
 19  0 19 17  3 18 19 17 18 19 19]",400,1.0,400,1.0
60,0,808.0,0.3594019189995379,"[19  4 13  6 11  2 15 16  2  1 12 13 11  0 15  2 19 16  8 12  6 11  8  5
  5  5  8  8 13  4  2  0  4  0  2]",500,0.2,500,0.2
61,2,1428.0,1.8460817209997913,"[12 18 15  9 19  8  2 14 13 12  3  9 18 19 13 17 17  2  4 18 15  5 14 11
  1  2 16 18  5 19 16 19 17 16 19]",500,0.2,500,0.2
62,4,1428.0,3.24242742000024,"[12 18 15  9 19  8  2 14 13 12  3  9 18 19 13 17 17  2  4 18 15  5 14 11
  1  2 16 18  5 19 16 19 17 16 19]",500,0.2,500,0.2
63,8,1442.0,6.130970571000034,"[15 15 18 15 13 13 10  5 17  5 18  8 16  2 11 18 19  7 10  2  4  9 15 19
 16  4 15 16  6 12 19 18 13  9 12]",500,0.2,500,0.2
64,16,1517.0,13.939205411999865,"[17 19 19 15 17 12  2 14 17  3  7 13 18 10  8 13 19  2 15  8 16 12 12 11
 16  2 11 16 14 16 19 14 11 18 19]",500,0.2,500,0.2
65,32,1609.0,32.30147706099979,"[ 6 12 18 19 19 15  0 19 18  3 16  8 18  2  5 19 19  8  0  1 12 15 19 18
 19 12 18 18  5 19 17 19 16 19 19]",500,0.2,500,0.2
66,64,1681.0,58.717200822999985,"[18 17 19 19 19 11  2 19 18  3 18 18 16  2  3 19 19 13  0  0 15 15 12 19
 19  1 19 17  2 19 17 19 16 18 19]",500,0.2,500,0.2
67,128,1722.0,103.04907363500024,"[19 19 19 19 19 12  0 19 19  1 18 19 19  0  0 19 19 13  0  0 18  1 17 19
 19  1 18 17  4 19 19 19 19 19 19]",500,0.2,500,0.2
68,256,1733.0,194.804562325,"[19 19 19 19 19 15  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  1 17 19
 19  0 19 18  7 19 19 19 19 19 19]",500,0.2,500,0.2
69,512,1735.0,425.3991074409996,"[19 19 19 19 19 15  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 18  8 19 19 19 19 19 19]",500,0.2,500,0.2
70,1024,1735.0,841.7927191359995,"[19 19 19 19 19 15  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 18  8 19 19 19 19 19 19]",500,0.2,500,0.2
71,2048,1736.0,1695.8718485959998,"[19 19 19 19 19 19  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 18  3 19 19 19 19 19 19]",500,0.2,500,0.2
72,0,1042.0,0.2684403499997643,"[15  8  0  1 10 17 11  9  3 10 16  3 13 16  6 11 13  9 15  9 19  6 12  7
  8 10 19 16  3 10 10  0 10 19  7]",500,0.4,500,0.4
73,2,1394.0,1.299499667999953,"[ 9 15 17 19 16 18  1 16 12  7 17 18 18  4 14 17 14 16  2  4 19 14 14 10
 11  2 19 17 15 13 13  5  4  7 10]",500,0.4,500,0.4
74,4,1394.0,2.3273834789997636,"[ 9 15 17 19 16 18  1 16 12  7 17 18 18  4 14 17 14 16  2  4 19 14 14 10
 11  2 19 17 15 13 13  5  4  7 10]",500,0.4,500,0.4
75,8,1442.0,5.641620829000203,"[18 11 16 13 16 19  1 11 19  2  4 19 12  1 18  2 15 19 13  4 18 14 12 19
 17 17 18  3  7 17  0 17  9 17 18]",500,0.4,500,0.4
76,16,1565.0,12.463513663999947,"[15 16 17 19 14  5  1 10 19  7 14 17 18  0 16 19 18 16  6  0 18  4  5 13
 19  6 19 12 15 16 19  9 18 17 13]",500,0.4,500,0.4
77,32,1642.0,23.913869034000527,"[16 17 18 16 19 17  1 11 19  8 14 18 15  0  0 19 19  5  3  0 12  9 18 19
 13  2 18 18 16 19 17 14 19 17 19]",500,0.4,500,0.4
78,64,1708.0,40.83917685200049,"[18 19 19 19 19 17  1 17 19  0 18 19 19  0  0 19 19  3  0  0 12  4 19 19
 18  0 18 18 16 19 19 15 17 19 19]",500,0.4,500,0.4
79,128,1723.0,76.090579445,"[19 19 19 19 19 17  1 18 19  0 18 19 19  0  1 19 19  1  0  0 16  0 16 19
 19  0 18 12 15 19 19 19 19 19 19]",500,0.4,500,0.4
80,256,1734.0,152.36617437600034,"[19 19 19 19 19 18  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 11 13 19 19 19 19 19 19]",500,0.4,500,0.4
81,512,1734.0,296.74105355899974,"[19 19 19 19 19 18  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 11 13 19 19 19 19 19 19]",500,0.4,500,0.4
82,1024,1734.0,578.0268506949997,"[19 19 19 19 19 18  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 11 13 19 19 19 19 19 19]",500,0.4,500,0.4
