,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
77,32,23.0,0.02165640799999835,"[0 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1
 1 1 1]",SA,1000,1000
78,64,20.0,0.03592553299999679,"[1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0 0 0
 0 1 1]",SA,1000,1000
79,128,18.0,0.06049025500000482,"[1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1
 1 0 1]",SA,1000,1000
80,256,19.0,0.11549501000000362,"[1 1 0 0 1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1
 0 1 0]",SA,1000,1000
81,512,15.0,0.21839210999999636,"[0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0
 1 1 1]",SA,1000,1000
82,1024,37.0,0.4095798110000004,"[1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 1 0]",SA,1000,1000
83,2048,38.0,0.7748480839999985,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,1000,1000
84,1,21.0,0.0010614509999982147,"[1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1
 1 1 0]",SA,2500,2500
85,2,19.0,0.00599338400000704,"[1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1
 1 1 0]",SA,2500,2500
86,4,19.0,0.008863849999997342,"[1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1
 1 1 0]",SA,2500,2500
87,8,17.0,0.012547900000001277,"[1 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 1
 1 1 0]",SA,2500,2500
88,16,13.0,0.01713968600000726,"[1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1
 1 1 0]",SA,2500,2500
89,32,23.0,0.02552123000000961,"[1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1
 0 1 0]",SA,2500,2500
90,64,21.0,0.03922744400000511,"[1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 1 1 1
 0 1 0]",SA,2500,2500
91,128,20.0,0.06358871999999849,"[1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1
 1 0 1]",SA,2500,2500
92,256,18.0,0.11211689499999977,"[1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 1
 0 0 1]",SA,2500,2500
