,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
236,64,8.0,41.103100741000006,[ 8 13  0 10  6  2 11 13  4  1  9 12  6  2],RHC,14,20
237,128,4.0,41.18366271399999,[ 8 13  0 10  5  2 11 13  4  1  9 12  6  3],RHC,14,20
238,256,2.0,41.344816307,[ 8 13  0 10  7  2 11 13  4  1  9 12  6  3],RHC,14,20
239,512,0.0,41.677368328,[ 8  5  0 10  7  2 11 13  4  1  9 12  6  3],RHC,14,20
240,1024,0.0,42.319513076999996,[ 8  5  0 10  7  2 11 13  4  1  9 12  6  3],RHC,14,20
241,2048,0.0,43.682942725000004,[ 8  5  0 10  7  2 11 13  4  1  9 12  6  3],RHC,14,20
242,2,34.0,43.715937571,[ 8  3  2  5  4 10 11  6 11 10  0 10  2 12],RHC,15,20
243,4,26.0,43.72046698300001,[ 8  3  2  5  4 10 11  6 11 10  0  9  2 12],RHC,15,20
244,8,20.0,43.728922524,[ 1  3  2  5 13 10 11  6 11  9  0  9  2 12],RHC,15,20
245,16,16.0,43.741045127999996,[ 1  3  8  5 13 10 11  6 11  9  0  9  2 12],RHC,15,20
246,32,16.0,43.763711044000004,[ 1  3  8  5 13 10 11  6 11  9  0  9  2 12],RHC,15,20
247,64,12.0,43.809443116,[ 1  3  8  5 13 10 10  6 11  9  0  9  2 12],RHC,15,20
248,128,10.0,43.90048549800001,[ 1  3  8  5 13 10 10  6 11  9  2  9  2 12],RHC,15,20
249,256,6.0,44.067322952,[ 1  3  8  5 13 10 10  4 11  0  2  9  2 12],RHC,15,20
250,512,4.0,44.407342649,[ 1  3  8  5 13 10 10  4 11  0  2  9  6 12],RHC,15,20
251,1024,4.0,45.094217637,[ 1  3  8  5 13 10 10  4 11  0  2  9  6 12],RHC,15,20
252,2048,4.0,46.464282985,[ 1  3  8  5 13 10 10  4 11  0  2  9  6 12],RHC,15,20
253,2,38.0,46.498899538,[ 3 11 13  6  4 13 11  8 11 10 11  3  9 10],RHC,16,20
254,4,30.0,46.503823235,[ 3 11 13  6  4 13 11  8 11  7 11  3  9 10],RHC,16,20
