,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
47,16,1524.0,95.20724977999998,"[12. 19. 16. 19.  3. 14. 15.  7.  3. 13.  7. 11.  8. 15. 18. 19. 15. 17.
 16. 15. 11. 19.  0. 11. 17. 14.  9. 19. 19. 12. 18. 18. 17.  4.  6.]",300,0.75,300,0.75
48,32,1573.0,186.9572700230019,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
49,64,1573.0,364.866797527,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
50,128,1573.0,720.7187527220012,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
51,256,1573.0,1443.336718589002,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
52,512,1573.0,2871.379194692003,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
53,1024,1573.0,5961.258316056999,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
54,2048,1573.0,5989.33143677,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
55,4096,1573.0,5989.33143677,"[14. 19. 14. 12. 13. 17. 16.  7. 16. 19.  2.  0. 17. 18. 19. 19. 16.  8.
 10.  6. 12. 17.  1.  7. 16. 18.  7. 12. 17. 11.  8. 18. 13. 15. 17.]",300,0.75,300,0.75
56,0,1252.0,0.21170220299973153,"[10  1 17  8 11  9  7  2 12 19 11  9 12 12  7  5 10 19 15  8 12 14 19  3
 15  5  3 15 10 12 16 15 15 18 18]",400,0.1,400,0.1
57,1,1438.0,7.649921969998104,"[18. 14. 16. 19. 16. 16. 17. 11.  1. 18.  5. 17. 10. 16. 17.  0. 13. 14.
  0.  9.  9. 19.  5.  7. 11.  1.  7. 15. 19. 15. 19. 12. 13.  0. 19.]",400,0.1,400,0.1
58,2,1462.0,15.103958538995357,"[14. 18. 10. 12. 17. 14.  5. 12. 17. 16.  1.  5. 15. 19. 19. 15. 12.  3.
  3. 13. 17. 16.  5. 18. 19. 11. 14.  4. 14. 14.  1. 11.  8.  6. 15.]",400,0.1,400,0.1
